oa_id,oa_count,affiliation_string,ror_id,s2aff_prediction
https://openalex.org/W2536724059,4,Tampere University of Technology - Finland,https://ror.org/00bwtjf83,"{'https://ror.org/02ba3pt07': 0.9397645712770442, 'https://ror.org/033003e23': 0.7452426371895398, 'https://ror.org/03gbw6p94': 0.4582411765181194, 'https://ror.org/00bwtjf83': 0.34049033752209606, 'https://ror.org/02hvt5f17': 0.32298081489776387}"
https://openalex.org/W2753739231,3,Paris Descartes University,https://ror.org/02e0y6e06,"{'https://ror.org/0220k9r37': 0.9127860459821351, 'https://ror.org/05f82e368': 0.283689522545227, 'https://ror.org/04wez5e68': 0.1525565344781702, 'https://ror.org/02en5vm52': 0.1490174616419621, 'https://ror.org/02e0y6e06': 0.09314228752719861}"
https://openalex.org/W1985441483,1,"IBM Research Lab Dublin, Dublin, Ireland",https://ror.org/04jnxr720,"{'https://ror.org/02tyrky19': 0.3512699295071793, 'https://ror.org/05m7pjf47': 0.31108014420299723, 'https://ror.org/03z0mke78': 0.22743216426549082, 'https://ror.org/04jnxr720': 0.13929054203209934, 'https://ror.org/04rt77q92': 0.13526512023919668}"
https://openalex.org/W1985441483,6,"Microsoft Research, SEATTLE, WA, USA",https://ror.org/00d0nc645,"{'https://ror.org/05k87vq12': 0.1920557352375947, 'https://ror.org/02w7f3w92': 0.10648575044654734, 'https://ror.org/02gcjrk43': 0.08928046126229738, 'https://ror.org/00d0nc645': 0.08180523456538878, 'https://ror.org/043mrw780': 0.047751277711165004}"
https://openalex.org/W3187395669,3,"Noah's Ark Lab, Huawei Technologies, Hong Kong, Hong Kong",https://ror.org/0500fyd17,"{'https://ror.org/026venb53': 0.417395147442267, 'https://ror.org/0568rcd29': 0.27169872917740484, 'https://ror.org/00cmhce21': 0.23195235815010828, 'https://ror.org/0500fyd17': 0.09707124547385984, 'https://ror.org/056gzgs71': 0.08828045895808298}"
https://openalex.org/W224992144,2,Shell International Exploration & Production Inc.,https://ror.org/00b5m4j81,"{'https://ror.org/01khhjy85': 0.0636781217535698, 'https://ror.org/05x4p3529': 0.028963862133831658, 'https://ror.org/01dvjey82': 0.027610994620551502, 'https://ror.org/022gnfx83': 0.022803995754607606, 'https://ror.org/00b5m4j81': 0.021562547183931458}"
https://openalex.org/W1601600400,1,Canon Inc,https://ror.org/05gg0gh87,"{'https://ror.org/02mv4jh42': 0.10766686704906678, 'https://ror.org/02jv94566': 0.06743061331099592, 'https://ror.org/05wtx0016': 0.05180381039253448, 'https://ror.org/05gg0gh87': 0.03476981195310837, 'https://ror.org/04fbzr589': 0.028100283659720924}"
https://openalex.org/W2009839465,1,"National Taipei University , Taiwan",https://ror.org/03e29r284,"{'https://ror.org/00cn92c09': 0.9558301231771166, 'https://ror.org/02bzpph30': 0.9087486115548391, 'https://ror.org/029hrv109': 0.9087486115548391, 'https://ror.org/03e29r284': 0.9034887835158172, 'https://ror.org/019z71f50': 0.49740892342596604}"
https://openalex.org/W2728402365,2,BeiJing JiaoTong University; Henan University of Economics and Law,https://ror.org/000jtc944,"{'https://ror.org/01yj56c84': 0.8568105213206373, 'https://ror.org/003xyzq10': 0.47291601666610955, 'https://ror.org/049gn7z52': 0.16845782464618722, 'https://ror.org/000jtc944': 0.16668012894314188, 'https://ror.org/013sm1c65': 0.1600132544401153}"
https://openalex.org/W2042831279,1,"Control Science and Engineering College of Hua zhong University of Science and Technology, 430074 Wuhan, Hubei, China and Physical Engineering College of ZhengZhou University, 450001 Zhengzhou, He ...#TAB#",https://ror.org/00b3j7936,"{'https://ror.org/00p991c53': 0.8499368254918915, 'https://ror.org/05f9vfg11': 0.6770268022124888, 'https://ror.org/0371fqr87': 0.4433701691114502, 'https://ror.org/00b3j7936': 0.3786325090978457, 'https://ror.org/04c4dkn09': 0.28289725878842936}"
https://openalex.org/W1626732885,1,"Dept. of Inf. & Comput. Sci. California Univ., Irvine, CA, USA",https://ror.org/04gyf1771,"{'https://ror.org/058zz0t50': 0.6156778704196499, 'https://ror.org/01spssf70': 0.4956251004501033, 'https://ror.org/03nawhv43': 0.4066652416697034, 'https://ror.org/04gyf1771': 0.3586975061844018, 'https://ror.org/03taz7m60': 0.1833771198183465}"
https://openalex.org/W2898327961,3,Department of Health Management and Informatics University of Missouri  Columbia Missouri USA,https://ror.org/03yp8z857,"{'https://ror.org/02ymw8z06': 0.924148445111609, 'https://ror.org/00cafxy65': 0.18248736934643994, 'https://ror.org/012yg2g20': 0.16063982987843614, 'https://ror.org/03yp8z857': 0.1449271509411997, 'https://ror.org/05jadkj46': 0.13350905958112588}"
https://openalex.org/W2898327961,12,"Division of Health Sciences Informatics, Johns Hopkins University, School of Medicine, Baltimore, Maryland, USA; ISchool, University of Maryland, College Park, Maryland, USA.",https://ror.org/037zgn354,"{'https://ror.org/00za53h95': 0.9510848039929277, 'https://ror.org/047s2c258': 0.9299774298099922, 'https://ror.org/02nfzhn33': 0.926609370101874, 'https://ror.org/037zgn354': 0.6388776639771447, 'https://ror.org/04rq5mt64': 0.5854689027412304}"
https://openalex.org/W1963641318,3,"Department of Psychiatry, University of North Carolina School of Medicine, CB #7160, 101 Manning Drive, Chapel Hill, NC 27599-7160, USA; Duke-UNC Brain Imaging and Analysis Center, Box 3918, Duke University Medical Center, Durham, NC 27710, USA",https://ror.org/00py81415,"{'https://ror.org/03njmea73': 0.9308656257844206, 'https://ror.org/04bct7p84': 0.9206031466064224, 'https://ror.org/041xs8a23': 0.8992646796836156, 'https://ror.org/00py81415': 0.6550846651126142, 'https://ror.org/01vfsab41': 0.6433354418366541}"
https://openalex.org/W2110965044,1,"Oracle Corporation, 10 Van de Graaff Drive, Burlington, MA 01803, USA.",https://ror.org/006c77m33,"{'https://ror.org/00h7y2d26': 0.06211134042859628, 'https://ror.org/021rhh009': 0.04521572799774577, 'https://ror.org/01gy41z17': 0.04093440452710008, 'https://ror.org/006c77m33': 0.039513563226803126, 'https://ror.org/01ar9e455': 0.014973709548772507}"
https://openalex.org/W3158045304,1,"Goldsmiths, University of London; University of the Arts London",https://ror.org/01khx4a30,"{'https://ror.org/04cnfrn26': 0.9703543918827837, 'https://ror.org/04cw6st05': 0.8961620906425808, 'https://ror.org/02jx3x895': 0.864206255577891, 'https://ror.org/01khx4a30': 0.7714794147984497, 'https://ror.org/054v4yq51': 0.6725741734527944}"
https://openalex.org/W2026754641,1,Hyperion Systems Limited,https://ror.org/03ah8pc29,"{'https://ror.org/01kj2rq74': 0.03979869344147301, 'https://ror.org/03an7d434': 0.03844832693798525, 'https://ror.org/03fka6907': 0.03042832909800969, 'https://ror.org/01gzdh662': 0.027481239741730282, 'https://ror.org/03ah8pc29': 0.026994121541464654}"
https://openalex.org/W2043459883,1,"INRIA/PAREO, 615 rue du Jardin Botanique BP-101 F-54602 Villers-Lès Nancy Cedex",https://ror.org/02kvxyf05,"{'https://ror.org/03fcjvn64': 0.21798015889927613, 'https://ror.org/01dg85j68': 0.14469046872635388, 'https://ror.org/01mbz8562': 0.14191216449186653, 'https://ror.org/02kvxyf05': 0.11002047498065656, 'https://ror.org/02fdf4056': 0.09073971980411091}"
https://openalex.org/W203488271,1,Avaya Labs,https://ror.org/01ye7b264,"{'https://ror.org/01r3vad87': 0.0634566659634598, 'https://ror.org/05bvn1m61': 0.06313659897503515, 'https://ror.org/041vyyf82': 0.05432844510419614, 'https://ror.org/04yytzs50': 0.048102623722418844, 'https://ror.org/01ye7b264': 0.04443110532821414}"
https://openalex.org/W1982843346,1,"General Electric Company, Philadelphia, Pennsylvania",https://ror.org/013msgt25,"{'https://ror.org/04gkw9q47': 0.21194647514326617, 'https://ror.org/04jndar25': 0.187498237254204, 'https://ror.org/036791a63': 0.09464866768054767, 'https://ror.org/013msgt25': 0.08590919977570817, 'https://ror.org/02w982447': 0.0740826122239029}"
https://openalex.org/W2594853226,1,Institute of Automation (China),https://ror.org/00qdtba35,"{'https://ror.org/022c3hy66': 0.9662394250626546, 'https://ror.org/056qj1t15': 0.924174043791225, 'https://ror.org/02e42hc22': 0.5556642857488208, 'https://ror.org/00ft6nj33': 0.3873605790712488, 'https://ror.org/00qdtba35': 0.3734963132537696}"
https://openalex.org/W3134296671,2,Mathématiques Appliquées Paris 5,https://ror.org/012e1xn46,"{'https://ror.org/011emb038': 0.25271103146617846, 'https://ror.org/02e0y6e06': 0.25250259784575535, 'https://ror.org/0581g8849': 0.21104334510993622, 'https://ror.org/012e1xn46': 0.19959932735854688, 'https://ror.org/04d4dxm04': 0.13991799125412085}"
https://openalex.org/W1527027706,1,Laboratoire d'Informatique Appliquée INSA de Lyon,https://ror.org/050jn9y42,"{'https://ror.org/04dv4he91': 0.21285735566186967, 'https://ror.org/01rk35k63': 0.2105048596223454, 'https://ror.org/04msnz457': 0.20443304802159434, 'https://ror.org/00w5ay796': 0.20134230844252973, 'https://ror.org/050jn9y42': 0.19893210001076234}"
https://openalex.org/W1994217828,1,Indiana-University Purdue-University Indianapolis,https://ror.org/052133d12,"{'https://ror.org/05gxnyn08': 1.01614123115185, 'https://ror.org/01kg8sb98': 0.7734212999045662, 'https://ror.org/00e0c0q64': 0.3968633103837802, 'https://ror.org/052133d12': 0.3602029987691222, 'https://ror.org/02dqehb95': 0.2937270917271087}"
https://openalex.org/W1757837788,1,"[Institute of Signal processing, Tampere University of Technology, Tampere, Finland]",https://ror.org/00bwtjf83,"{'https://ror.org/033003e23': 0.9041970435266241, 'https://ror.org/02ba3pt07': 0.9029025498097575, 'https://ror.org/02hvt5f17': 0.44202647205794093, 'https://ror.org/00bwtjf83': 0.40225756624024106, 'https://ror.org/05p6qqk79': 0.36491010657611117}"
https://openalex.org/W2917417427,1,"Department of Computer Engineering, Science and Research Branch, Islamic Azad University, Tehran ,IRAN",https://ror.org/03187yj51,"{'https://ror.org/01kzn7k21': 0.9756633211302922, 'https://ror.org/03a11m818': 0.6239007893369445, 'https://ror.org/02xc21a77': 0.6239007893369445, 'https://ror.org/03187yj51': 0.6053200460103523, 'https://ror.org/00eaebe27': 0.5994843626940276}"
https://openalex.org/W2922272481,2,"Laboratory of Physical Chemistry, Swiss Federal Institute of Technology (ETH), CH-8093 Zurich, Switzerland",https://ror.org/02s376052,"{'https://ror.org/05a28rw58': 0.5445938078792945, 'https://ror.org/01rvn4p91': 0.35615738430958793, 'https://ror.org/04jcykh16': 0.19314451707801375, 'https://ror.org/02s376052': 0.14624231920123987, 'https://ror.org/01yqg2h08': 0.14533128637590173}"
