oa_id,oa_count,affiliation_string,ror_id,s2aff_prediction
https://openalex.org/W2536724059,2,"HPI, Germany",NA,"{'https://ror.org/058rn5r42': 0.8847369237935035, 'https://ror.org/02r2q1d96': 0.8436693615140807}"
https://openalex.org/W3011943,1,"IRISA, Rennes Cedex#TAB#",https://ror.org/00myn0z94,"{'https://ror.org/00myn0z94': 0.6658703790737855, 'https://ror.org/03k4s1p46': 0.04415767394906382}"
https://openalex.org/W3133537201,2,"IBM, Moscow, Russia",NA,"{'https://ror.org/016hfp155': 0.28930868858947556, 'https://ror.org/040wrkp27': 0.24150552636773784}"
https://openalex.org/W2090996014,3,"UVSQ, PRiSM, Versailles, France",https://ror.org/03mkjjy25,"{'https://ror.org/03mkjjy25': 0.8498718660360736, 'https://ror.org/05dm3m993': 0.36655968042933296}"
https://openalex.org/W2128587687,1,"WZB, 10785 Berlin, Germany#TAB#",https://ror.org/03k0z2z93,{'https://ror.org/03k0z2z93': 0.6977345309718191}
https://openalex.org/W2159928277,1,"PPS/LSL, Paris 7/CEA Saclay, Paris, France#TAB#",https://ror.org/03xjwb503,"{'https://ror.org/046p9e825': 0.32590594261978345, 'https://ror.org/01adn4a11': 0.18478913307830844, 'https://ror.org/03r7eh527': 0.004641595655017886}"
https://openalex.org/W2107615034,1,"CWI, Amsterdam, Netherlands",https://ror.org/00x7ekv49,{'https://ror.org/00x7ekv49': 0.9826967025510112}
https://openalex.org/W622045890,1,"Technische Hochschule, Deggendorf.",https://ror.org/02kw5st29,{'https://ror.org/02kw5st29': 0.9745387234282518}
https://openalex.org/W1606099663,3,"Knowledge Management Department, DFKI, Kaiserslautern, Germany and CS Department, University of Kaiserslautern, Kaiserslautern, Germany",https://ror.org/04zrf7b53,"{'https://ror.org/01ayc5b57': 0.8736463609575987, 'https://ror.org/05nn0gw40': 0.00875493687179642, 'https://ror.org/028t9y815': 0.007744363974557353}"
https://openalex.org/W2131162896,2,"Computer Science Department, UIUC, Urbana, IL#TAB#",https://ror.org/04kp3hw27,"{'https://ror.org/047426m28': 0.8598768067651754, 'https://ror.org/008taqp83': -0.04419043666864992}"
https://openalex.org/W4303488731,3,"Technical Faculty Bihać, University of Bihać, Irfana Ljubijankića Bb, Bihać, Bosnia and Herzegovina",https://ror.org/03y601s20,{'https://ror.org/03y601s20': 0.9164593659988013}
https://openalex.org/W1485219991,1,"Dept. of Computer Engineering and Mathematics, UNESCO Chair in Data Privacy, Universitat Rovira i Virgili, Tarragona, Catalonia E-43007#TAB#",https://ror.org/00g5sqv46,"{'https://ror.org/00g5sqv46': 0.9507295539231806, 'https://ror.org/021rvrs67': 0.22928599868178554, 'https://ror.org/05s4b1t72': 0.1746734693613646, 'https://ror.org/01av3a615': 0.15928051845093474}"
https://openalex.org/W1986651551,1,"Systems Engineering Department, King Fahd University of Petroleum and Minerals, P. O. Box 985, Dhahran 31261, Saudi Arabia",https://ror.org/03yez3163,"{'https://ror.org/03yez3163': 0.986112075437657, 'https://ror.org/01c524129': 0.0839302686240346, 'https://ror.org/04k820v98': 0.053020473077124666}"
https://openalex.org/W1986651551,2,"Systems Engineering Department, King Fahd University of Petroleum and Minerals, P. O. Box 5067, Dhahran 31261, Saudi Arabia,",https://ror.org/03yez3163,"{'https://ror.org/03yez3163': 0.9867945622916043, 'https://ror.org/01c524129': 0.08390107763154087, 'https://ror.org/04k820v98': 0.05299128208463092}"
https://openalex.org/W2012556891,2,"CMU, Pittsburgh, PA#TAB#",https://ror.org/05x2bcf33,{'https://ror.org/05x2bcf33': 1.0037441661813247}
