oa_id,oa_count,affiliation_string,ror_id
https://openalex.org/W4220852507,1,"Department of Supply Chain Management, National Kaohsiung University of Science and Technology, 80778 Kaohsiung, Taiwan",NA
https://openalex.org/W2796004174,1,"INESC-ID, Instituto Superior Técnico, University of Lisbon, Lisbon, Portugal.",NA
https://openalex.org/W2796004174,2,"Univ. of Lisbon, Lisbon, Portugal#TAB#",https://ror.org/01c27hj86
https://openalex.org/W3035244275,1,"University of Auckland , Auckland, New Zealand",https://ror.org/03b94tp07
https://openalex.org/W3035244275,2,"Orion Health, Auckland, New Zealand",NA
https://openalex.org/W2132123864,1,"[Portland, OR, USA]",https://ror.org/03m027021
https://openalex.org/W2132123864,2,"[Cayenne Communication, USA]",NA
https://openalex.org/W2132123864,3,"Intel Corporation, , USA#TAB#",https://ror.org/01ek73717
https://openalex.org/W2132123864,4,"Synopsys Inc, Mountain View, CA, USA",https://ror.org/013by2m91
https://openalex.org/W2132123864,5,"[Blaze DFM, Inc., Sunnyvale, CA, USA]",NA
https://openalex.org/W2132123864,6,"Mentor Graphics Corporation , Wilsonville, OR, USA",NA
https://openalex.org/W2132123864,7,"[Aprio Technologies, Santa Clara, CA, USA]",https://ror.org/05hy8nr95
https://openalex.org/W2132123864,8,"[Pyxis Technologies, Santa Clara, CA, USA]",NA
https://openalex.org/W2132123864,9,"[Clear Shape Technolgies, Sunnyvale, CA, USA]",NA
https://openalex.org/W2293101314,1,Microsoft Research; USA,https://ror.org/00d0nc645
https://openalex.org/W2091994602,1,"Norwegian University of Science and Technology (NTNU), Department of Energy and Process Engineering, Kolbjørn Hejes veg 1A, NO-7491 Trondheim, Norway",https://ror.org/05xg72x27
https://openalex.org/W2155220745,1,"Dept. of Electr. & Comput. Eng, North Carolina State Univ., Raleigh, NC, USA",https://ror.org/04tj63d06
https://openalex.org/W2018480170,1,"Instituto de Telecomunicações - DCC/FC - University of Porto, Porto, Portugal",https://ror.org/02ht4fk33
https://openalex.org/W2061124807,1,Friedrich‐Schiller University Jena,https://ror.org/05qpz1x62
https://openalex.org/W2061124807,2,leipzig university,https://ror.org/03s7gtk40
https://openalex.org/W2061124807,3,German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig and Martin Luther University Halle Wittenberg#TAB#,NA
https://openalex.org/W2061124807,4,"Martin-Luther University, Halle-Wittenberg",https://ror.org/05gqaka33
https://openalex.org/W2061124807,5,Friedrich Schiller University Jena and German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig#TAB#,https://ror.org/01jty7g66
https://openalex.org/W2061124807,6,German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig#TAB#,https://ror.org/01jty7g66
https://openalex.org/W1992993659,1,Iwate Prefectural University Iwate Japan,https://ror.org/054dx8336
https://openalex.org/W2987751713,1,Eastern Washington University.,https://ror.org/002g57a93
https://openalex.org/W2885911847,1,"Key Laboratory of Process Optimization and Intelligent Decision-making, Ministry of Education, Hefei, China; School of Management, Hefei University of Technology, Hefei, China",NA
https://openalex.org/W2885911847,2,"Key Laboratory of Process Optimization and Intelligent Decision-making, Ministry of Education, Hefei, China; School of Management, Hefei University of Technology, Hefei, China",https://ror.org/02czkny70
https://openalex.org/W2062206072,1,AT&T‡,https://ror.org/02bbd5539
https://openalex.org/W2971876536,1,"Silesian University of Technology, Gliwice Poland",https://ror.org/02dyjk442
https://openalex.org/W1954124505,1,"Department of Electrical and Computer Engineering, Worcester Polytechnic Institute, Worcester, MA, U.S.A.",https://ror.org/05ejpqr48
https://openalex.org/W4311905895,1,Shijiazhuang Tiedao University,https://ror.org/022e9e065
https://openalex.org/W3165798576,1,"Data61, CSIRO and University of New South Wales, Australia",https://ror.org/03r8z3t63
https://openalex.org/W3165798576,2,"Data61, CSIRO, Australia",https://ror.org/03q397159
https://openalex.org/W3165798576,3," University of New South Wales, Australia#TAB#",https://ror.org/03r8z3t63
https://openalex.org/W2022881593,1,"School of Mathematics, Iran University of science and technology, Narmak, Tehran 16846, Iran",https://ror.org/01jw2p796
https://openalex.org/W2060810265,1,Univ. de Bourgogne (France),NA
https://openalex.org/W4205868985,1,Laboratoire d'analyse et modélisation de systèmes pour l'aide à la décision,https://ror.org/03pnp1a74
https://openalex.org/W2959235113,1,"Rani Chennamma University, Torvi, Vijayapur, India",NA
