oa_id,oa_count,affiliation_string,ror_id
https://openalex.org/W2098075313,1,"Technische Universität Berlin, Institut für Mathematik, Sekr. MA 5–2, Straße des 17. Juni 136, 10623, Berlin, Germany#TAB#",https://ror.org/03v4gjf40
https://openalex.org/W1606099663,1,"Knowledge Management Department, DFKI Kaiserslautern, Germany",https://ror.org/01ayc5b57
https://openalex.org/W1606099663,2,"CS Department, University of Kaiserslautern, Kaiserslautern, Germany",https://ror.org/04zrf7b53
https://openalex.org/W1606099663,3,"Knowledge Management Department, DFKI, Kaiserslautern, Germany and CS Department, University of Kaiserslautern, Kaiserslautern, Germany",https://ror.org/04zrf7b53
https://openalex.org/W1991996594,1,"Department of Computer Science and Engineering Indian Institute of Technology, Kanpur 208 016, India",https://ror.org/05pjsgx75
https://openalex.org/W2536321448,1,"ONERA, France, E. Belin, Toulouse Cedex",NA
https://openalex.org/W1525775766,1,"Department of Computer Science, University of Kentucky, Lexington, KY",https://ror.org/02k3smh20
https://openalex.org/W2798112595,1,"LifeOmic, Inc.",NA
https://openalex.org/W2265730194,1,University of Duisburg-Essen,https://ror.org/04mz5ra38
https://openalex.org/W2331684445,1, University of Bologna,https://ror.org/01111rn36
https://openalex.org/W2331684445,2,Univ. of La Laguna,https://ror.org/01r9z8p25
https://openalex.org/W3017811005,1,"Montgomery Bell Academy, Nashville, TN 37205, USA",https://ror.org/0135ay670
https://openalex.org/W3017811005,2,"Texas Tech Univ, Lubbock, TX 79409, USA",https://ror.org/0405mnx93
https://openalex.org/W2061290906,1,University of Warsaw,https://ror.org/039bjqg32
https://openalex.org/W2603694088,1,"Department of Mathematics, University of Patras, Greece.",https://ror.org/017wvtq80
https://openalex.org/W2603694088,2,"Department of Business Administration, TEI of Thessaly, Greece",https://ror.org/04056ja87
https://openalex.org/W3196053108,1,"Polish-Japanese Academy of Information Technology, Warsaw, Poland",https://ror.org/01v542j61
https://openalex.org/W3196053108,2,"SWPS University of Social Sciences and Humanities, Warsaw, Poland#TAB#",https://ror.org/0407f1r36
https://openalex.org/W1814485055,1,"Network Management Group, Departament de Teoria del Senyal i Comunicacions, Universitat Politècnica de Catalunya,",https://ror.org/03mb6wj31
https://openalex.org/W2946204369,1,"College of Computer Science and Software Engineering, Shenzhen University, Shenzhen PR China#TAB#",https://ror.org/01vy4gh70
https://openalex.org/W2946204369,2,"School of Information and Control Engineering, China University of Mining and Technology, Xuzhou 221116, Jiangsu, PR China",https://ror.org/01xt2dr21
https://openalex.org/W2946204369,3,"CINVESTAV-IPN, Department of Computer Science, Mexico, D.F., 07360, Mexico",https://ror.org/009eqmr18
https://openalex.org/W4229453151,1,ISAE‐ENSMA  Poitiers France,https://ror.org/04xhy8q59
https://openalex.org/W1788426126,1,The MITRE Corporation and Worcester Polytechnic Institute,https://ror.org/03ks2a131
https://openalex.org/W2090239743,1,"National Taiwan Normal University Taipei, Taiwan",https://ror.org/059dkdx38
https://openalex.org/W2160892298,1,"Department of Statistics, The London School of Economics, London WC2A 2AE, UK.",https://ror.org/0090zs177
https://openalex.org/W2160892298,2,"Sezione di Statistica e Informatica, Dipartimento di Economia, Università di Parma, Italy",https://ror.org/02k7wn190
https://openalex.org/W1975386777,1,"National Central University, Graduate Institute of Learning and Instruction, No.300, Jhongda Rd., Jhongli City, Taoyuan County 32001, Taiwan#TAB#",https://ror.org/00944ve71
https://openalex.org/W1975386777,2,"Erasmus University Rotterdam, Institute of Psychology, Burgemeester Oudlaan 50, 3062 PA Rotterdam, Netherlands and University of Wollongong, Faculty of Education, Wollongong, NSW 2522, Australia#TAB#",NA
https://openalex.org/W1548614403,1,"[Systems Research Institute, Polish Academy of Sciences, Warsaw, Poland]",https://ror.org/0111cp837
https://openalex.org/W2274276959,1,University of Pisa,https://ror.org/03ad39j10
https://openalex.org/W1850521444,1,"Department of Computer Science, The University of Wales, Aberystwyth,",https://ror.org/015m2p889
https://openalex.org/W1850521444,2,"Department of Computing, School of Informatics, City University, London,",https://ror.org/04489at23
https://openalex.org/W2057959765,1,"Department of Computer Science, The National Defense Academy, Yokosuka, Kanagawa 239-8686, Japan#TAB#",https://ror.org/05xszy717
https://openalex.org/W3125919805,1,"Lund University Lund, Sweden.",https://ror.org/012a77v79
https://openalex.org/W2740742622,1,"Department of Industrial Economics and Technology Management, Norwegian University of Science and Technology, Alfred Getz veg 3, Trondheim, NO-7491, Norway; Hospital of South West Jutland and Institute of Regional Health Research, Centre of South West Jutland, University of Southern Denmark, Finsensgade 35, Esbjerg DK-6700, Denmark",https://ror.org/05xg72x27
https://openalex.org/W2740742622,2,"Department of Industrial Economics and Technology Management, Norwegian University of Science and Technology, Alfred Getz veg 3, Trondheim, NO-7491, Norway; Hospital of South West Jutland and Institute of Regional Health Research, Centre of South West Jutland, University of Southern Denmark, Finsensgade 35, Esbjerg DK-6700, Denmark",https://ror.org/03pzgk858
